bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,fips,county
3,2.0,1324,518089,1963.0,6037,Los Angeles County
4,3.0,3551,1609238,1994.0,6037,Los Angeles County
4,3.0,2519,106406,1965.0,6037,Los Angeles County
3,2.0,1285,369853,1955.0,6037,Los Angeles County
3,1.0,1254,65848,1954.0,6037,Los Angeles County
3,2.0,1988,89362,1965.0,6059,Orange County
3,3.0,2851,885381,1979.0,6059,Orange County
3,2.5,1868,548692,2004.0,6111,Ventura County
4,1.5,2196,243271,1925.0,6059,Orange County
2,1.0,808,76159,1952.0,6037,Los Angeles County
3,2.0,1080,205503,1949.0,6037,Los Angeles County
4,3.0,2570,982333,1937.0,6037,Los Angeles County
2,1.0,1174,155395,1937.0,6037,Los Angeles County
5,3.0,2299,283765,1977.0,6037,Los Angeles County
2,1.5,1008,332406,1964.0,6059,Orange County
6,5.5,4041,1587088,2005.0,6059,Orange County
2,2.0,1064,231539,1964.0,6059,Orange County
5,5.5,4503,2349388,2003.0,6059,Orange County
4,2.0,2058,1070530,1960.0,6059,Orange County
4,2.0,2282,149895,1976.0,6037,Los Angeles County
3,3.0,1881,868000,1958.0,6111,Ventura County
4,2.0,2102,359878,1964.0,6037,Los Angeles County
4,2.5,1979,546541,1972.0,6059,Orange County
3,2.0,982,1035533,1921.0,6037,Los Angeles County
2,1.0,728,1020000,1924.0,6037,Los Angeles County
3,2.0,1572,305307,1976.0,6037,Los Angeles County
4,2.0,1994,400697,1972.0,6059,Orange County
4,2.5,2017,379611,1969.0,6059,Orange County
4,2.0,1590,196316,1960.0,6037,Los Angeles County
3,2.0,1194,351438,1948.0,6037,Los Angeles County
4,2.0,1052,426000,1945.0,6037,Los Angeles County
3,2.0,1311,349996,1942.0,6037,Los Angeles County
3,3.0,1948,497054,1981.0,6037,Los Angeles County
4,3.0,2220,393102,1963.0,6059,Orange County
2,1.0,800,318306,1947.0,6111,Ventura County
4,3.0,3527,860000,1981.0,6059,Orange County
4,3.0,2134,272101,1971.0,6037,Los Angeles County
3,2.0,1491,107110,1955.0,6037,Los Angeles County
3,2.0,1491,107110,1955.0,6037,Los Angeles County
4,3.0,2023,824605,1970.0,6037,Los Angeles County
4,4.0,3265,787737,2004.0,6037,Los Angeles County
